#                                                                          running time (s)                 
#                                                                   -------------------------------          
# idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ---  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
  291  395963      1487        1     1430     no   1833.69       -       1.18       0.23       1.95     36.34
  292  395965      1487        1     1430     no   1831.82       -       1.28       0.17       2.00     36.30
  293  396595      1540        1     1430     no   1873.45       -       1.32       0.24       2.12     37.60
  294  397945      1529        1     1430     no   1821.33       -       1.28       0.17       2.01     37.32
  295  397948      1678        6     1427  5'&3'   1175.86       -       1.53       0.62       2.75     44.27
  296  398578      1533        1     1430     no   1831.06       -       1.25       0.19       2.01     37.51
  297  398580      1466        1     1430     no   1781.84       -       1.22       0.28       2.04     36.24
  298  398720      1527        5     1430     5'   1702.94       -       1.42       0.20       2.20     37.63
  299  399550      1572        6     1427  5'&3'   1250.09       -       1.37       0.83       2.79     42.64
  300  399741      1543        1     1430     no   1857.79       -       1.35       0.21       2.13     37.77
  301  399742      1540        1     1430     no   1856.84       -       1.30       0.24       2.13     37.72
  302  399795      1526        8     1430     5'   1823.36       -       1.17       0.21       1.97     37.28
  303  400668      1540        1     1430     no   1849.03       -       1.14       0.22       1.96     37.61
  304  401053      1500        1     1430     no   1790.49       -       1.19       0.21       1.97     36.67
  305  401526      1653        1     1429     3'   1823.00       -       1.32       0.20       2.16     40.16
  306  402881      1486        1     1430     no   1843.06       -       1.05       0.19       1.82     36.28
  307  403833      1512        1     1430     no   1623.76       -       1.00       0.24       1.83     37.42
  308  405948      1524        1     1430     no   1835.11       -       1.18       0.22       2.00     37.17
  309  406818      1544        1     1430     no   1862.78       -       1.25       0.26       2.12     37.78
  310  410358      1466        6     1427  5'&3'   1185.97       -       1.41       0.46       2.44     38.43
  311  411154      1528        1     1430     no   1729.10       -       1.09       0.30       1.98     37.63
  312  411462       521       26      494  5'&3'    600.20       -       0.12       0.05       0.37      8.74
  313  411467       354      498      842  5'&3'    444.14       -       0.07       0.02       0.23      5.49
  314  411471      1517        8     1425  5'&3'   1828.89       -       1.02       0.18       1.78     36.78
  315  411477       533       26      494  5'&3'    546.93       -       0.09       0.09       0.38      9.07
  316  411489       522      930     1429  5'&3'    614.40       -       0.14       0.06       0.40      8.87
  317  411490      1522        8     1425  5'&3'   1840.49       -       1.05       0.21       1.85     37.04
  318  411684       800       66      843  5'&3'    958.09       -       0.50       0.12       0.93     15.44
  319  415426      1506        6     1427  5'&3'   1360.51       -       1.12       0.51       2.22     38.80
