TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
456320	Methanococcus voltae	Methanococcus voltae A3	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae	1	core
456442	Methanoregula boonei	Methanoregula boonei 6A8	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei	1	core
456481	Leptospira biflexa	Leptospira biflexa serovar Patoc strain Patoc 1 (Paris)	Bacteria	Spirochaetes	Spirochaetia	1	Leptospiraceae	Leptospira	Leptospira biflexa	1	core
457396	Clostridium sp. 7243FAA	Clostridium sp. 7_2_43FAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	1	1	periphery
457412	Ruminococcus sp. 5139BFAA	Ruminococcus sp. 5_1_39BFAA	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	1	1	core
457570	Natranaerobius thermophilus	Natranaerobius thermophilus JW/NM-WN-LF	Bacteria	Firmicutes	Clostridia	Natranaerobiales	Natranaerobiaceae	Natranaerobius	Natranaerobius thermophilus	1	core
458233	Macrococcus caseolyticus	Macrococcus caseolyticus JCSC5402	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Macrococcus	Macrococcus caseolyticus	1	core
465515	Micrococcus luteus	Micrococcus luteus NCTC 2665	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Micrococcus	Micrococcus luteus	1	core
469008	Escherichia coli BL21DE3	Escherichia coli BL21(DE3)	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	1	periphery
469371	Thermobispora bispora	Thermobispora bispora DSM 43833	Bacteria	Actinobacteria	Actinobacteria	1	1	Thermobispora	Thermobispora bispora	1	core
469378	Cryptobacterium curtum	Cryptobacterium curtum DSM 15641	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Cryptobacterium	Cryptobacterium curtum	1	core
469381	Dethiosulfovibrio peptidovorans	Dethiosulfovibrio peptidovorans DSM 11002	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Dethiosulfovibrio	Dethiosulfovibrio peptidovorans	1	core
469382	Halogeometricum borinquense	Halogeometricum borinquense DSM 11551	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense	1	core
469383	Conexibacter woesei	Conexibacter woesei DSM 14684	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter woesei	1	core
469596	Coprobacillus sp. 291	Coprobacillus sp. 29_1	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	1	1	core
471852	Thermomonospora curvata	Thermomonospora curvata DSM 43183	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Thermomonospora curvata	1	core
471853	Beutenbergia cavernae	Beutenbergia cavernae DSM 12333	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Beutenbergiaceae	Beutenbergia	Beutenbergia cavernae	1	core
471854	Dyadobacter fermentans	Dyadobacter fermentans DSM 18053	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	Dyadobacter fermentans	1	core
471855	Slackia heliotrinireducens	Slackia heliotrinireducens DSM 20476	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia heliotrinireducens	1	core
471856	Jonesia denitrificans	Jonesia denitrificans DSM 20603	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans	1	core
471857	Saccharomonospora viridis	Saccharomonospora viridis DSM 43017	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	Saccharomonospora viridis	1	core
471874	Providencia stuartii	Providencia stuartii ATCC 25827	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	Providencia stuartii	1	core
472759	Nitrosococcus halophilus	Nitrosococcus halophilus Nc4	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus	Nitrosococcus halophilus	1	core
